3082,Nal Airport,India,BKB,28.07060051,73.2071991,750,N,Asia/Calcutta
3269,Kota Kinabalu International Airport,Malaysia,BKI,5.937210083,116.0510025,10,N,Asia/Kuala_Lumpur
3885,Suvarnabhumi Airport,Thailand,BKK,13.68109989,100.7470016,5,U,Asia/Bangkok
6218,Bakalalan Airport,Malaysia,BKM,3.973999977,115.6179962,2900,N,Asia/Kuala_Lumpur
3288,Fatmawati Soekarno Airport,Indonesia,BKS,-3.8637,102.338997,50,N,Asia/Jakarta
6214,Belaga Airport,Malaysia,BLG,2.650000095,113.7669983,200,N,Asia/Kuala_Lumpur
3131,Kempegowda International Airport,India,BLR,13.1979,77.706299,3000,N,Asia/Calcutta
6196,Banmaw Airport,Burma,BMO,24.2689991,97.24620056,370,U,Asia/Rangoon
3924,Muhammad Salahuddin Airport,Indonesia,BMU,-8.539649963,118.6869965,3,N,Asia/Makassar
6187,Buon Ma Thuot Airport,Vietnam,BMV,12.66829968,108.1200027,1729,U,Asia/Saigon
2134,Bandar Abbas International Airport,Iran,BND,27.21829987,56.37779999,22,E,Asia/Tehran
5938,Bannu Airport,Pakistan,BNP,32.9729,70.527901,1325,N,Asia/Karachi
2997,Chhatrapati Shivaji International Airport,India,BOM,19.08869934,72.86789703,39,N,Asia/Calcutta
4272,Qinhuangdao Beidaihe Airport,Burma,BPE,39.666389,119.058889,46,U,Asia/Shanghai
3141,Begumpet Airport,India,BPM,17.4531002,78.46759796,1742,N,Asia/Calcutta
3919,Sultan Aji Muhamad Sulaiman Airport,Indonesia,BPN,-1.268270016,116.8939972,12,N,Asia/Makassar
6396,Qamdo Bangda Airport,China,BPX,30.55360031,97.10829926,14219,U,Asia/Shanghai
2415,Dr.Juan C. Angara Airport,Philippines,BQA,15.729309,121.500034,108,N,Asia/Manila
7357,Batagay Airport,Russia,BQJ,67.64800262,134.6950073,696,N,Asia/Vladivostok
2926,Ignatyevo Airport,Russia,BQS,50.42539978,127.4120026,638,N,Asia/Yakutsk
7505,Baoshan Yunduan Airport,China,BSD,25.053301,99.168297,5453,U,Asia/Shanghai
2234,Basrah International Airport,Iraq,BSR,30.54910088,47.66210175,11,U,Asia/Baghdad
8773,Bost Airport,Afghanistan,BST,31.55970001,64.36499786,2464,U,Asia/Kabul
6201,Pathein Airport,Burma,BSX,16.815201,94.7799,20,U,Asia/Rangoon
3026,Batticaloa Airport,Sri Lanka,BTC,7.70576,81.678802,20,U,Asia/Colombo
3903,Hang Nadim International Airport,Indonesia,BTH,1.121029973,104.1190033,126,N,Asia/Jakarta
3294,Sultan Iskandar Muda International Airport,Indonesia,BTJ,5.522872024,95.42063713,65,N,Asia/Jakarta
2936,Bratsk Airport,Russia,BTK,56.37060165,101.697998,1610,N,Asia/Irkutsk
3262,Bintulu Airport,Malaysia,BTU,3.123850107,113.0199966,74,N,Asia/Kuala_Lumpur
3909,Batu Licin Airport,Indonesia,BTW,-3.412410021,115.9950027,3,N,Asia/Makassar
6205,Bokondini Airport,Indonesia,BUI,-3.6822,138.6755,4550,N,Asia/Jayapura
3086,Bhatinda Air Force Station,India,BUP,30.27009964,74.75579834,662,N,Asia/Calcutta
3971,Batumi International Airport,Georgia,BUS,41.61029816,41.59970093,105,N,Asia/Tbilisi
2106,Bushehr Airport,Iran,BUZ,28.94479942,50.83459854,68,E,Asia/Tehran
3122,Gautam Buddha Airport,Nepal,BWA,27.505685,83.416293,358,N,Asia/Katmandu
3297,Butterworth Airport,Malaysia,BWH,5.465919971,100.3909988,11,N,Asia/Kuala_Lumpur
3272,Brunei International Airport,Brunei,BWN,4.944200039,114.9280014,73,U,Asia/Brunei
3259,Babo Airport,Indonesia,BXB,-2.532239914,133.4389954,10,N,Asia/Jayapura
2909,Balkhash Airport,Kazakhstan,BXH,46.8932991,75.00499725,1446,U,Asia/Qyzylorda
5928,Bam Airport,Iran,BXR,29.08419991,58.45000076,3231,E,Asia/Tehran
4200,Bancasi Airport,Philippines,BXU,8.9515,125.4788,141,N,Asia/Manila
8192,Krainiy Airport,Kazakhstan,BXY,45.621994,63.210773,317,U,Asia/Qyzylorda
6371,Bayankhongor Airport,Mongolia,BYN,46.16329956,100.7040024,6085,U,Asia/Ulaanbaatar
6176,Barisal Airport,Bangladesh,BZL,22.8010006,90.30120087,23,U,Asia/Dhaka
4156,Cà Mau Airport,Vietnam,CAH,9.177667,105.177778,6,U,Asia/Saigon
3370,Guangzhou Baiyun International Airport,China,CAN,23.39240074,113.2990036,50,U,Asia/Shanghai
3139,Car Nicobar Air Force Station,India,CBD,9.152509689,92.81960297,5,N,Asia/Calcutta
3897,Penggung Airport,Indonesia,CBN,-6.756140232,108.5400009,89,N,Asia/Jakarta
2399,Awang Airport,Philippines,CBO,7.165239811,124.2099991,189,N,Asia/Manila
3137,Calicut International Airport,India,CCJ,11.13679981,75.95529938,342,N,Asia/Calcutta
7501,Chakcharan Airport,Afghanistan,CCN,34.53300095,65.26699829,7383,U,Asia/Kabul
3043,Netaji Subhash Chandra Bose International Airport,India,CCU,22.65469933,88.44670105,16,N,Asia/Calcutta
3138,Kadapa Airport,India,CDP,14.51,78.772778,430,N,Asia/Calcutta
4206,Mactan Cebu International Airport,Philippines,CEB,10.30749989,123.9789963,31,N,Asia/Manila
3932,Chiang Rai International Airport,Thailand,CEI,19.95229912,99.88289642,1280,U,Asia/Bangkok
2968,Chelyabinsk Balandino Airport,Russia,CEK,55.305801,61.5033,769,N,Asia/Yekaterinburg
6352,Changde Airport,China,CGD,28.91889954,111.6399994,128,U,Asia/Shanghai
3275,Soekarno-Hatta International Airport,Indonesia,CGK,-6.12556982,106.6559982,34,N,Asia/Jakarta
6012,Camiguin Airport,Philippines,CGM,9.253520012,124.7070007,53,N,Asia/Manila
3375,Zhengzhou Xinzheng International Airport,China,CGO,34.5196991,113.8410034,495,U,Asia/Shanghai
